customer_id,account_id,tenure_months,monthly_charges,paperless_billing,payment_method,contract_proxy,internet_service,has_5g_home_internet,lines_on_account,device_payment_plan,device_term_months,device_months_remaining,device_monthly_payment,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,churn_risk_score,trust_baseline,patience,is_churned,repeat_contacts_30d,last_call_day_index
C0000083,A0000083,37,75.79,No,Electronic check,Month-to-month,No,0,4,Yes,36,7,11.89,Yes,No,No,Yes,No,0.231766,44.62138,0.382903,0,0,-1
C0000084,A0000084,11,54.5,No,Electronic check,Month-to-month,No,0,2,No,0,0,0.0,Yes,No,No,Yes,No,0.171466,78.346,0.660722,0,0,-1
C0000085,A0000085,7,106.09,Yes,Bank transfer (automatic),Month-to-month,No,0,3,No,0,0,0.0,Yes,Yes,Yes,Yes,No,0.239146,85.299501,0.705546,0,0,-1
C0000086,A0000086,9,61.09,No,Mailed check,Month-to-month,No,0,1,No,0,0,0.0,Yes,No,Yes,Yes,No,0.221076,55.786686,0.773247,0,0,-1
C0000087,A0000087,44,103.37,No,Credit card (automatic),One year,5G Home Internet,1,2,Yes,30,16,16.25,No,No,Yes,No,No,0.218209,53.215482,0.156633,0,0,-1
C0000088,A0000088,21,32.6,No,Bank transfer (automatic),Month-to-month,5G Home Internet,1,4,Yes,24,5,10.0,Yes,Yes,No,No,No,0.273998,83.574296,0.408717,0,0,-1
C0000089,A0000089,1,41.81,No,Credit card (automatic),Two year,No,0,5,Yes,24,23,10.0,No,No,No,Yes,Yes,0.336428,65.963237,0.796965,0,0,-1
C0000090,A0000090,17,50.73,Yes,Electronic check,Month-to-month,No,0,5,Yes,36,20,10.0,No,No,No,Yes,No,0.321191,84.894472,0.422004,0,0,-1
C0000091,A0000091,8,92.26,Yes,Bank transfer (automatic),Month-to-month,No,0,2,No,0,0,0.0,No,No,No,Yes,No,0.409515,71.31679,0.418185,0,0,-1
C0000092,A0000092,25,93.76,No,Mailed check,Month-to-month,No,0,1,No,0,0,0.0,No,Yes,No,No,No,0.311616,54.994738,0.304412,0,0,-1
C0000093,A0000093,13,62.51,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,1,Yes,24,12,10.0,Yes,No,No,No,No,0.321443,56.303289,0.312745,0,0,-1
C0000094,A0000094,19,29.19,Yes,Bank transfer (automatic),Month-to-month,No,0,2,Yes,30,23,10.0,No,No,Yes,Yes,Yes,0.289657,95.839947,0.140605,0,0,-1
C0000095,A0000095,10,29.27,No,Bank transfer (automatic),One year,5G Home Internet,1,3,Yes,36,12,10.0,Yes,No,Yes,No,No,0.215183,50.087046,0.641175,0,0,-1
C0000096,A0000096,31,36.71,Yes,Electronic check,Two year,5G Home Internet,1,2,Yes,30,8,10.0,No,No,No,Yes,No,0.222533,66.359018,0.590543,0,0,-1
C0000097,A0000097,12,89.37,No,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,36,25,17.39,No,No,Yes,No,Yes,0.175096,60.741854,0.422805,1,0,-1
C0000098,A0000098,11,48.14,Yes,Bank transfer (automatic),Two year,No,0,1,Yes,36,26,10.0,No,No,Yes,Yes,Yes,0.111646,46.916234,0.653889,0,0,-1
C0000099,A0000099,1,22.47,Yes,Electronic check,Two year,No,0,5,Yes,36,17,10.0,No,No,No,Yes,No,0.319899,77.706748,0.73169,0,0,-1
C0000100,A0000100,62,53.89,No,Bank transfer (automatic),Month-to-month,5G Home Internet,1,2,Yes,36,15,10.0,No,No,Yes,No,No,0.293975,60.088364,0.610984,0,0,-1
C0000101,A0000101,59,32.4,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,24,10,10.0,No,No,No,No,No,0.16292,78.173932,0.362922,0,0,-1
C0000102,A0000102,33,114.34,No,Bank transfer (automatic),Month-to-month,No,0,2,No,0,0,0.0,Yes,No,No,No,Yes,0.298023,69.883694,0.693065,0,0,-1
C0000103,A0000103,11,53.13,No,Mailed check,Month-to-month,No,0,1,Yes,36,11,10.0,No,No,Yes,No,No,0.295466,78.580067,0.339004,0,0,-1
C0000104,A0000104,69,117.51,Yes,Bank transfer (automatic),Two year,No,0,1,Yes,30,7,17.31,No,No,Yes,Yes,Yes,0.331865,43.301718,0.598411,1,0,-1
C0000105,A0000105,43,77.55,No,Electronic check,One year,No,0,1,Yes,36,15,13.06,Yes,No,Yes,No,Yes,0.235398,67.143325,0.414251,0,0,-1
C0000106,A0000106,39,66.15,Yes,Bank transfer (automatic),Month-to-month,No,0,1,No,0,0,0.0,Yes,No,No,No,No,0.206678,82.245159,0.204595,1,0,-1
C0000107,A0000107,15,63.65,Yes,Credit card (automatic),Month-to-month,No,0,3,Yes,24,11,20.19,No,No,No,Yes,No,0.211681,64.765029,0.456143,0,0,-1
C0000108,A0000108,11,78.53,Yes,Electronic check,Two year,5G Home Internet,1,0,Yes,36,16,19.26,No,No,Yes,No,No,0.341616,67.418071,0.804324,1,0,-1
C0000109,A0000109,10,74.26,Yes,Credit card (automatic),Two year,5G Home Internet,1,1,Yes,36,19,18.35,No,No,No,Yes,Yes,0.348939,56.779429,0.549816,1,0,-1
C0000110,A0000110,52,39.42,No,Credit card (automatic),Two year,5G Home Internet,1,2,Yes,36,19,12.37,No,No,No,No,No,0.193352,68.959123,0.538959,0,0,-1
C0000111,A0000111,16,109.94,No,Electronic check,Month-to-month,5G Home Internet,1,1,Yes,36,18,26.75,Yes,Yes,No,No,No,0.27178,57.628939,0.378618,0,0,-1
C0000112,A0000112,3,59.24,No,Electronic check,Month-to-month,5G Home Internet,1,3,Yes,36,32,13.49,No,Yes,No,No,Yes,0.236111,67.723601,0.790403,0,0,-1
C0000113,A0000113,3,42.45,No,Credit card (automatic),Month-to-month,No,0,2,Yes,24,22,16.43,No,Yes,Yes,No,Yes,0.219497,59.86002,0.178085,0,0,-1
C0000114,A0000114,34,51.81,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,1,Yes,30,20,13.25,Yes,Yes,Yes,No,No,0.306292,84.336463,0.753933,1,0,-1
C0000115,A0000115,0,69.93,No,Electronic check,Month-to-month,No,0,1,Yes,24,19,12.76,No,No,No,Yes,No,0.282897,82.402063,0.461373,0,0,-1
C0000116,A0000116,53,40.05,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,1,Yes,30,9,10.0,Yes,No,No,No,No,0.054735,57.367654,0.72063,0,0,-1
C0000117,A0000117,47,43.86,No,Electronic check,One year,No,0,1,Yes,30,10,13.89,No,No,No,No,No,0.289153,98.0,0.247593,1,0,-1
C0000118,A0000118,42,23.07,Yes,Mailed check,Month-to-month,5G Home Internet,1,2,No,0,0,0.0,No,No,No,Yes,Yes,0.401323,74.931905,0.572422,0,0,-1
C0000119,A0000119,17,41.22,Yes,Credit card (automatic),Month-to-month,No,0,1,No,0,0,0.0,No,No,Yes,Yes,No,0.272032,75.358343,0.659592,0,0,-1
C0000120,A0000120,27,38.96,Yes,Mailed check,Month-to-month,No,0,1,No,0,0,0.0,Yes,Yes,No,Yes,No,0.396878,89.226624,0.313475,0,0,-1
C0000121,A0000121,24,99.31,Yes,Credit card (automatic),Two year,No,0,2,Yes,30,10,26.7,No,No,No,No,No,0.296764,77.02343,0.291943,0,0,-1
C0000122,A0000122,26,57.83,Yes,Electronic check,Month-to-month,No,0,1,No,0,0,0.0,Yes,No,No,No,No,0.448584,61.237543,0.352498,1,0,-1
C0000123,A0000123,1,119.78,Yes,Mailed check,Month-to-month,5G Home Internet,1,1,Yes,24,20,28.4,No,No,No,No,No,0.450018,50.779605,0.506317,1,0,-1
C0000124,A0000124,13,76.61,Yes,Credit card (automatic),Month-to-month,No,0,1,Yes,36,20,23.05,No,No,No,No,No,0.449904,26.714816,0.237911,0,0,-1
C0000125,A0000125,1,98.64,Yes,Electronic check,Month-to-month,No,0,5,Yes,36,14,28.27,Yes,Yes,No,No,Yes,0.33142,96.889217,0.790742,1,0,-1
C0000126,A0000126,15,103.95,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,5,Yes,36,16,26.45,Yes,No,Yes,Yes,No,0.291741,74.23146,0.624075,0,0,-1
C0000127,A0000127,0,45.14,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,3,Yes,36,15,11.21,Yes,No,Yes,No,No,0.158266,75.725349,0.667376,0,0,-1
C0000128,A0000128,11,77.24,Yes,Credit card (automatic),One year,5G Home Internet,1,1,Yes,24,15,15.77,Yes,No,Yes,No,Yes,0.147477,78.642252,0.474446,0,0,-1
C0000129,A0000129,1,29.59,No,Credit card (automatic),Month-to-month,No,0,1,No,0,0,0.0,No,Yes,No,Yes,Yes,0.395589,64.674754,0.262702,1,0,-1
C0000130,A0000130,28,34.34,Yes,Credit card (automatic),Month-to-month,No,0,2,Yes,24,17,10.0,Yes,Yes,No,Yes,No,0.19349,77.545459,0.306169,0,0,-1
C0000131,A0000131,10,51.24,Yes,Electronic check,Month-to-month,No,0,4,No,0,0,0.0,No,Yes,No,Yes,No,0.408021,54.537493,0.48597,1,0,-1
C0000132,A0000132,49,66.11,No,Bank transfer (automatic),Month-to-month,5G Home Internet,1,1,Yes,36,4,19.28,Yes,Yes,Yes,No,No,0.203284,73.37546,0.410263,0,0,-1
C0000133,A0000133,29,85.7,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,3,No,0,0,0.0,Yes,No,No,No,No,0.084186,81.309421,0.527025,0,0,-1
C0000134,A0000134,22,54.96,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,1,Yes,30,24,17.44,No,Yes,No,Yes,No,0.192815,60.322734,0.617166,1,0,-1
C0000135,A0000135,30,90.64,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,1,No,0,0,0.0,No,No,Yes,No,No,0.143008,98.0,0.91126,0,0,-1
C0000136,A0000136,2,47.19,Yes,Electronic check,Month-to-month,No,0,2,Yes,24,10,15.13,Yes,No,No,Yes,No,0.400803,54.858646,0.482945,0,0,-1
C0000137,A0000137,68,32.34,Yes,Credit card (automatic),Month-to-month,No,0,3,No,0,0,0.0,No,No,Yes,No,No,0.245467,78.724948,0.718582,0,0,-1
C0000138,A0000138,20,28.4,No,Bank transfer (automatic),One year,5G Home Internet,1,4,Yes,36,27,10.0,No,No,No,No,No,0.24267,71.426,0.395727,0,0,-1
C0000139,A0000139,40,69.5,Yes,Bank transfer (automatic),Two year,No,0,1,Yes,36,10,11.45,Yes,No,No,No,No,0.222668,89.034956,0.29568,1,0,-1
C0000140,A0000140,0,73.56,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,1,Yes,36,34,11.23,No,No,No,No,Yes,0.268002,68.29549,0.263215,0,0,-1
C0000141,A0000141,12,49.16,No,Mailed check,Two year,5G Home Internet,1,1,Yes,24,12,10.0,No,No,Yes,Yes,No,0.295721,59.849252,0.411051,0,0,-1
C0000142,A0000142,21,39.0,Yes,Bank transfer (automatic),Two year,No,0,1,Yes,36,11,10.0,No,Yes,No,No,No,0.219222,82.634989,0.391001,0,0,-1
C0000143,A0000143,51,69.7,No,Bank transfer (automatic),Two year,5G Home Internet,1,1,Yes,30,9,16.79,No,No,No,Yes,Yes,0.123591,61.966484,0.317562,0,0,-1
C0000144,A0000144,25,99.24,Yes,Credit card (automatic),Month-to-month,No,0,1,No,0,0,0.0,No,Yes,Yes,No,No,0.12837,82.087854,0.148403,0,0,-1
C0000145,A0000145,18,36.95,No,Credit card (automatic),One year,No,0,5,Yes,36,13,10.0,Yes,No,Yes,No,No,0.184632,55.838002,0.585413,0,0,-1
C0000146,A0000146,11,97.82,No,Credit card (automatic),Month-to-month,No,0,2,Yes,24,21,21.26,No,No,No,No,No,0.135829,63.153136,0.554743,1,0,-1
C0000147,A0000147,0,75.27,No,Credit card (automatic),Month-to-month,No,0,2,No,0,0,0.0,No,No,Yes,No,No,0.38635,60.566444,0.390564,0,0,-1
C0000148,A0000148,12,72.09,Yes,Credit card (automatic),Month-to-month,5G Home Internet,1,3,Yes,24,15,10.0,No,No,No,Yes,Yes,0.228342,54.167003,0.774595,0,0,-1
C0000149,A0000149,17,30.65,Yes,Electronic check,Month-to-month,No,0,2,Yes,30,12,10.0,Yes,No,Yes,No,Yes,0.113955,55.920484,0.080877,0,0,-1
C0000150,A0000150,8,111.03,Yes,Bank transfer (automatic),One year,No,0,2,Yes,24,10,15.13,Yes,No,Yes,No,No,0.307513,90.229092,0.669121,0,0,-1
C0000151,A0000151,41,64.03,No,Electronic check,Month-to-month,No,0,3,Yes,30,20,10.0,Yes,Yes,No,No,Yes,0.20187,98.0,0.59091,0,0,-1
C0000152,A0000152,58,44.29,Yes,Bank transfer (automatic),Month-to-month,5G Home Internet,1,1,No,0,0,0.0,No,No,No,No,No,0.359571,48.834203,0.178049,0,0,-1
C0000153,A0000153,0,80.68,Yes,Credit card (automatic),Month-to-month,No,0,1,No,0,0,0.0,Yes,No,Yes,Yes,No,0.207657,87.364035,0.592161,1,0,-1
C0000154,A0000154,28,94.91,Yes,Bank transfer (automatic),Two year,5G Home Internet,1,2,Yes,36,17,18.67,Yes,No,No,Yes,No,0.23284,77.359353,0.697092,0,0,-1
